D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
50000|2022|Nissan|Altima|truck|Blue|57289|43698.20
50001|2013|Kia|Sorento|van|Red|170553|10266.41
50002|2019|Chevrolet|Equinox|van|Red|161832|29133.64
50003|2011|Ford|Focus|truck|White|138253|19810.85
50004|2013|Honda|Accord|truck|White|28869|35503.15
50005|2013|Chevrolet|Silverado|truck|Yellow|94075|3837.01
50006|2015|Jeep|Compass|van|Black|56910|19099.90
50007|2018|Subaru|Impreza|van|Red|127197|15968.18
50008|2012|Kia|Soul|van|Yellow|169001|24689.94
50009|2009|Ram|2500|car|Silver|77767|7582.30
50010|2017|Subaru|Impreza|van|White|93440|35884.88
50011|2017|Honda|Accord|van|Blue|129130|36104.36
50012|2005|Toyota|Tacoma|SUV|Gray|26153|39673.54
50013|2016|Kia|Sportage|van|Silver|70970|19776.51
50014|2006|Jeep|Wrangler|car|White|40400|6045.79
50015|2013|Hyundai|Accent|car|Silver|26199|30664.67
50016|2014|Ram|2500|truck|Black|66517|31558.03
50017|2011|GMC|Canyon|car|Red|102969|17917.73
50018|2006|Chevrolet|Tahoe|van|Green|171905|31176.30
50019|2022|GMC|Acadia|SUV|Black|78716|26143.90
50020|2010|GMC|Acadia|van|Blue|109338|13577.03
50021|2020|Toyota|Tacoma|truck|Yellow|71952|44155.38
50022|2018|Hyundai|Elantra|van|Black|33517|19366.83
50023|2011|Jeep|Cherokee|van|White|172504|38797.36
50024|2012|Ram|1500|van|Black|38741|10521.97
50025|2022|Nissan|Pathfinder|car|Yellow|148518|25726.80
50026|2013|Toyota|RAV4|van|Gray|36918|26694.21
50027|2016|Kia|Optima|SUV|Red|74506|34537.54
50028|2014|Jeep|Compass|van|Yellow|59822|31462.18
50029|2022|Subaru|Impreza|car|Green|139977|28222.96
50030|2019|Nissan|Sentra|van|White|69548|32913.52
50031|2007|Jeep|Grand Cherokee|SUV|Black|92884|28089.03
50032|2022|Ford|Escape|van|White|87928|13375.57
50033|2023|Hyundai|Elantra|truck|Silver|39699|36500.88
50034|2011|Chevrolet|Malibu|truck|Gray|127890|25646.27
50035|2020|Toyota|Tacoma|truck|Green|44938|26304.92
50036|2007|Kia|Sportage|car|Gray|116292|8907.96
50037|2011|Ford|Fusion|SUV|Green|121067|11378.68
50038|2020|Honda|Accord|car|White|151793|29755.78
50039|2023|Ford|F-150|car|Black|105969|11817.84
50040|2018|Toyota|Camry|car|Gray|115428|32159.58
50041|2022|Kia|Soul|SUV|White|41113|10727.95
50042|2021|Jeep|Compass|car|Yellow|83547|29687.26
50043|2015|Toyota|Highlander|SUV|Blue|90491|33752.90
50044|2006|GMC|Sierra|truck|Red|124651|5722.43
50045|2019|Subaru|Outback|car|Blue|43333|3342.16
50046|2022|Jeep|Compass|SUV|White|154448|16861.17
50047|2017|Honda|Accord|SUV|Gray|129325|12262.00
50048|2016|Subaru|Crosstrek|van|Green|101280|36041.89
50049|2015|Hyundai|Tucson|SUV|Green|126806|14966.04
50050|2011|Ford|F-150|SUV|Black|27954|12674.89
50051|2012|Kia|Sorento|car|Black|124751|24817.55
50052|2020|Honda|Pilot|car|Yellow|162932|41691.01
50053|2016|Chevrolet|Impala|SUV|Black|54187|14589.36
50054|2010|Hyundai|Accent|SUV|White|99026|14060.43
50055|2010|Chevrolet|Impala|car|Yellow|113494|5737.17
50056|2021|Ram|2500|van|Silver|148211|42906.21
50057|2009|Ford|Ranger|SUV|Silver|118258|4568.02
50058|2011|Chevrolet|Malibu|car|Gray|140573|23422.92
50059|2011|GMC|Terrain|car|Blue|116271|19491.68
50060|2020|Subaru|Crosstrek|SUV|Gray|167836|31408.35
50061|2013|GMC|Canyon|SUV|Blue|170545|20352.91
50062|2023|Toyota|Tacoma|SUV|Yellow|114807|25621.02
50063|2006|Toyota|Tacoma|SUV|White|133302|33611.10
50064|2013|Chevrolet|Malibu|SUV|Blue|134852|11691.09
50065|2008|Kia|Soul|van|Gray|94069|29593.97
50066|2011|Honda|Pilot|SUV|Silver|111135|32422.79
50067|2023|Ford|Escape|car|Blue|92176|22766.66
50068|2008|Kia|Soul|car|Gray|152020|19780.92
50069|2018|Chevrolet|Equinox|truck|Gray|24661|21561.10
50070|2016|Nissan|Sentra|van|Green|91562|40706.24
50071|2015|Hyundai|Tucson|van|Green|74412|6303.93
50072|2008|Subaru|Impreza|SUV|Yellow|102331|38890.25
50073|2022|Honda|Fit|van|Silver|120275|24430.12
50074|2018|Nissan|Pathfinder|truck|Silver|86821|16447.23
50075|2017|Ram|2500|van|Red|26059|39658.01
50076|2008|Jeep|Wrangler|SUV|Silver|178017|9244.89
50077|2019|Kia|Soul|SUV|Gray|150261|34871.48
50078|2022|Toyota|Tacoma|SUV|White|107638|4574.59
50080|2022|Chevrolet|Equinox|truck|Yellow|98254|24935.65
50081|2020|Subaru|Forester|car|Blue|122044|13784.01
50082|2023|Toyota|RAV4|truck|Yellow|136115|17989.65
50083|2014|Hyundai|Sonata|truck|Yellow|54125|39196.57
50084|2020|Hyundai|Santa Fe|car|Black|175537|38627.14
50085|2005|Nissan|Rogue|truck|Green|108684|12602.11
50086|2011|Ford|Escape|truck|Red|91050|31398.95
50087|2018|Kia|Sportage|van|Black|123083|42819.12
50088|2005|Subaru|Impreza|SUV|Silver|106504|29447.52
50089|2022|Ford|Ranger|truck|White|68939|16100.22
50090|2013|Ram|3500|van|Black|70078|32472.18
50091|2013|Nissan|Pathfinder|truck|Gray|111848|39555.11
50092|2006|Nissan|Rogue|SUV|Silver|39094|5176.47
50093|2010|Honda|Accord|van|Black|32963|34911.83
50094|2010|Honda|Fit|van|Green|96754|8200.21
50095|2016|Subaru|Crosstrek|truck|Silver|123710|36623.92
50096|2011|Subaru|Crosstrek|SUV|Yellow|157408|7054.44
50097|2009|Toyota|RAV4|car|Gray|178100|6461.08
50098|2011|Nissan|Frontier|van|Black|74282|40432.24
50099|2020|Kia|Sorento|SUV|Red|73817|34249.65
50100|2014|Toyota|Tacoma|car|Silver|170156|10390.04
50101|2011|Subaru|Outback|SUV|White|159109|23071.14
50102|2018|Jeep|Compass|van|White|34236|20062.17
50103|2011|Jeep|Grand Cherokee|van|Silver|48176|17495.39
50104|2022|Jeep|Compass|van|Red|40598|22203.35
50105|2012|Ram|1500|van|White|55298|7802.54
50106|2019|Hyundai|Tucson|SUV|Blue|139925|13733.81
50107|2015|Ford|F-150|SUV|Black|109157|30134.08
50108|2013|Subaru|Impreza|car|Gray|29781|31039.73
50109|2013|Honda|Fit|car|Black|159242|11576.01
50110|2006|Ram|2500|truck|Black|41603|25286.82
50111|2010|Nissan|Altima|car|Blue|148845|18291.71
50112|2020|Chevrolet|Equinox|truck|Green|114841|9416.78
50113|2022|Toyota|RAV4|truck|Black|21070|21282.86
50114|2017|Subaru|Forester|SUV|Silver|50436|12454.10
50115|2016|Chevrolet|Malibu|SUV|Silver|158224|7716.57
50116|2011|Ford|Focus|car|Red|147320|24065.08
50117|2005|Ram|3500|truck|Green|54680|18615.24
50118|2019|Subaru|Outback|truck|Gray|68030|30170.93
50119|2010|Kia|Sorento|van|Red|143243|40733.04
50120|2007|Kia|Sportage|SUV|Silver|21997|38025.30
